LAST SEEN   TYPE      REASON              OBJECT                                    MESSAGE
52m         Normal    Started             pod/prometheus-68d797f6cf-lgr6f           Started container init-prometheus-volume
52m         Normal    Pulling             pod/prometheus-68d797f6cf-lgr6f           Pulling image "prom/prometheus:v2.54.1"
52m         Normal    Pulled              pod/sqlserver-fc76bfd7b-x96z8             Successfully pulled image "busybox:1.36" in 4.656s (12m30.119s including waiting). Image size: 2217006 bytes.
52m         Normal    Created             pod/sqlserver-fc76bfd7b-x96z8             Created container: init-sqlserver-volume
52m         Normal    Started             pod/sqlserver-fc76bfd7b-x96z8             Started container init-sqlserver-volume
52m         Warning   Failed              pod/juliojubiladoapi-664d55656d-5pf9q     Error: ErrImagePull
52m         Normal    Pulled              pod/sqlserver-fc76bfd7b-x96z8             Container image "mcr.microsoft.com/mssql/server:2022-latest" already present on machine
52m         Normal    Created             pod/sqlserver-fc76bfd7b-x96z8             Created container: sqlserver
52m         Warning   Failed              pod/juliojubiladoapi-664d55656d-5pf9q     Failed to pull image "docker.io/example/juliojubiladoapi:test": failed to pull and unpack image "docker.io/example/juliojubiladoapi:test": failed to resolve reference "docker.io/example/juliojubiladoapi:test": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
51m         Normal    Pulled              pod/sqlserver-init-6jl9q                  Successfully pulled image "mcr.microsoft.com/mssql/server:2022-latest" in 230ms (10m50.095s including waiting). Image size: 604241716 bytes.
51m         Normal    Pulled              pod/flyway-migrate-ld9qv                  Successfully pulled image "flyway/flyway:10.17.3" in 317ms (10m50.098s including waiting). Image size: 450472109 bytes.
51m         Normal    Started             pod/sqlserver-fc76bfd7b-x96z8             Started container sqlserver
51m         Normal    Created             pod/flyway-migrate-ld9qv                  Created container: flyway
51m         Normal    Created             pod/sqlserver-init-6jl9q                  Created container: bootstrap
51m         Normal    Started             pod/flyway-migrate-ld9qv                  Started container flyway
51m         Normal    Killing             pod/flyway-migrate-ld9qv                  Stopping container flyway
51m         Normal    NoPods              poddisruptionbudget/juliojubiladoapi      No matching pods found
51m         Normal    Killing             pod/sqlserver-init-6jl9q                  Stopping container bootstrap
51m         Normal    Started             pod/sqlserver-init-6jl9q                  Started container bootstrap
50m         Normal    Pulled              pod/prometheus-68d797f6cf-lgr6f           Successfully pulled image "prom/prometheus:v2.54.1" in 1m28.928s (1m32.154s including waiting). Image size: 108262778 bytes.
50m         Normal    Created             pod/prometheus-68d797f6cf-lgr6f           Created container: prometheus
50m         Normal    Started             pod/prometheus-68d797f6cf-lgr6f           Started container prometheus
49m         Warning   Unhealthy           pod/sqlserver-fc76bfd7b-x96z8             Startup probe failed: dial tcp 10.244.0.56:1433: connect: connection refused
49m         Normal    SuccessfulCreate    job/flyway-migrate                        Created pod: flyway-migrate-xctkx
49m         Normal    SuccessfulCreate    job/sqlserver-init                        Created pod: sqlserver-init-ct542
49m         Normal    Pulled              pod/sqlserver-init-ct542                  Container image "mcr.microsoft.com/mssql/server:2022-latest" already present on machine
49m         Normal    Pulled              pod/flyway-migrate-xctkx                  Container image "flyway/flyway:10.17.3" already present on machine
49m         Normal    Created             pod/sqlserver-init-ct542                  Created container: bootstrap
49m         Normal    Created             pod/flyway-migrate-xctkx                  Created container: flyway
49m         Normal    Started             pod/sqlserver-init-ct542                  Started container bootstrap
49m         Normal    Started             pod/flyway-migrate-xctkx                  Started container flyway
48m         Normal    Completed           job/sqlserver-init                        Job completed
48m         Normal    Completed           job/flyway-migrate                        Job completed
48m         Normal    ScalingReplicaSet   deployment/juliojubiladoapi               Scaled up replica set juliojubiladoapi-78ffcdd46c from 0 to 4
48m         Normal    SuccessfulCreate    replicaset/juliojubiladoapi-78ffcdd46c    Created pod: juliojubiladoapi-78ffcdd46c-rxrpt
48m         Normal    SuccessfulCreate    replicaset/juliojubiladoapi-78ffcdd46c    Created pod: juliojubiladoapi-78ffcdd46c-9gd2s
48m         Normal    SuccessfulCreate    replicaset/juliojubiladoapi-78ffcdd46c    Created pod: juliojubiladoapi-78ffcdd46c-czp4l
48m         Normal    SuccessfulCreate    replicaset/juliojubiladoapi-78ffcdd46c    Created pod: juliojubiladoapi-78ffcdd46c-sccsk
48m         Normal    SuccessfulCreate    job/flyway-migrate                        Created pod: flyway-migrate-fd5w6
48m         Normal    SuccessfulCreate    replicaset/juliopedidoapi-5f7798f7fc      Created pod: juliopedidoapi-5f7798f7fc-gs29q
